"Word","Iconicity","ListIdentifier","KupermanAOA","SUBTLEX_Rawfreq","SUBTLEX_dom_POS","SUBTLEX_Percentage_dom_POS","OrthoLength","ParentalInputRawFreq","ChildesAge12Freq","ChildesAge15Freq","ChildesAge18Freq","ChildesAge21Freq","ChildesAge24Freq","ChildesAge27Freq","ChildesAge30Freq","ChildesAge33Freq","ChildesAge36Freq","ChildesAge39Freq","ChildesAge42Freq","ChildesAge45Freq","ChildesAge48Freq","ChildesAge51Freq","ChildesAge54Freq","ChildesAge57Freq","ChildesAge60Freq","ChildesAge63Freq","ChildesAge66Freq","ChildesAge69Freq","Conc","NMorph"
"tall",-0.0714285714285714,"list2",4.95,1649,"Adjective","1.00",4,263,0,6,2,3,13,23,25,15,15,10,11,7,8,6,16,6,5,0,2,2,3.36,1
"tang",2.69230769230769,"list2",9.11,114,"Noun","0.99",4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4.42,NA
"tangerine",-0.0666666666666667,"list2",8.15,38,"Adjective","1.00",9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,4.81,1
"tangy",1.46153846153846,"list2",8.65,17,"Adjective","1.00",5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68,2
"tantrum",1.58333333333333,"list2",6.65,45,"Noun","1.00",7,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37,1
"taper",-0.142857142857143,"list2",10.7,9,"Noun","1.00",5,3,0,0,0,0,0,21,6,0,0,0,0,0,0,0,0,0,1,0,0,0,3.56,2
"tapering",-1.27272727272727,"list2",NA,5,"Verb","1.00",8,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34,NA
"target",0.833333333333333,"list2",7.58,1936,"Noun","0.92",6,21,0,0,0,0,0,0,0,1,6,2,1,1,0,0,0,11,0,0,0,0,4.11,1
"tarry",0.642857142857143,"list2",11.33,23,"Verb","0.91",5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"tart",0.75,"list2",8.26,122,"Noun","0.87",4,7,0,0,1,0,21,1,6,3,2,2,1,0,0,0,1,0,0,0,0,0,3.27,1
"tasteless",0.0666666666666667,"list2",9.53,45,"Adjective","0.98",9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54,NA
"tasty",1.07692307692308,"list2",5.4,322,"Adjective","1.00",5,46,0,0,0,2,5,2,5,5,6,0,2,2,0,2,0,1,13,3,1,1,2.86,2
"tax",-0.0714285714285714,"list2",8.94,742,"Noun","0.95",3,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.89,1
"teach",0.153846153846154,"list2",4.67,3715,"Verb","1.00",5,169,0,0,1,0,1,1,4,3,5,6,9,8,4,7,29,5,3,0,2,0,3.15,1
"team",0.307692307692308,"list2",6,7528,"Noun","0.97",4,34,0,0,7,1,1,0,2,3,0,0,1,0,9,3,8,4,3,2,0,4,3.79,1
"template",0.266666666666667,"list2",11.44,21,"Noun","1.00",8,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19,NA
"tend",-0.25,"list2",9.79,626,"Verb","1.00",4,6,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,2,1
"tendency",-0.428571428571429,"list2",12.57,138,"Noun","1.00",8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83,2
"tender",1.46666666666667,"list2",7.11,453,"Adjective","0.88",6,3,0,0,0,0,7,7,7,0,0,2,0,1,0,0,0,0,1,1,0,1,2.58,2
"tepid",0.272727272727273,"list2",13.44,12,"Adjective","1.00",5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52,NA
"testy",1.35714285714286,"list2",9.33,49,"Noun","1.00",5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA
"text",0,"list2",7.78,267,"Noun","1.00",4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93,1
"theme",0.0666666666666667,"list2",8.5,710,"Noun","1.00",5,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72,1
"theory",-0.583333333333333,"list2",9.37,1459,"Noun","1.00",6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,1
"thick",0.615384615384615,"list2",5.61,713,"Adjective","0.92",5,37,0,0,0,0,0,0,1,3,0,1,0,0,1,0,10,2,2,0,1,0,4,1
"thin",1.28571428571429,"list2",6.47,1029,"Adjective","0.92",4,46,0,0,0,1,2,2,3,1,1,9,5,8,1,0,6,0,2,0,0,1,3.83,1
"thorny",1.38461538461538,"list2",7.56,36,"Adjective","0.53",6,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26,NA
