"Word","Iconicity","ListIdentifier","KupermanAOA","SUBTLEX_Rawfreq","SUBTLEX_dom_POS","SUBTLEX_Percentage_dom_POS","OrthoLength","ParentalInputRawFreq","ChildesAge12Freq","ChildesAge15Freq","ChildesAge18Freq","ChildesAge21Freq","ChildesAge24Freq","ChildesAge27Freq","ChildesAge30Freq","ChildesAge33Freq","ChildesAge36Freq","ChildesAge39Freq","ChildesAge42Freq","ChildesAge45Freq","ChildesAge48Freq","ChildesAge51Freq","ChildesAge54Freq","ChildesAge57Freq","ChildesAge60Freq","ChildesAge63Freq","ChildesAge66Freq","ChildesAge69Freq","Conc","NMorph"
"asleep",0.454545455,"list1",4.47,2541,"Adjective","1.00",6,186,0,1,6,16,38,69,52,26,20,8,7,8,9,7,10,6,5,0,3,4,3.71,2
"awake",2.1,"list1",4.67,1362,"Adjective","0.81",5,55,0,0,4,6,35,14,9,4,3,4,8,0,1,1,5,2,4,1,0,0,3.32,2
"bad",0.5625,"list1",2.79,27804,"Adjective","0.99",3,967,0,11,13,15,40,86,141,101,70,92,100,108,83,95,171,55,26,40,43,19,1.68,1
"better",-0.1,"list1",5.02,40494,"Adverb","0.65",6,2166,0,0,5,53,123,186,256,161,121,131,73,89,76,67,243,70,60,20,46,22,1.91,1
"big",1.090909091,"list1",2.89,34824,"Adjective","1.00",3,4563,6,116,186,393,711,1084,1304,883,631,512,419,460,431,286,600,219,179,93,113,80,3.66,1
"black",1.19047619,"list1",3.56,8565,"Adjective","0.94",5,504,7,7,43,90,95,194,141,159,127,53,78,54,55,47,119,44,23,7,14,4,3.76,1
"blue",-0.066666667,"list1",3.53,5222,"Adjective","0.94",4,1025,7,88,108,258,557,621,469,285,324,106,131,114,108,76,189,49,68,35,36,13,3.76,1
"broken",1.5,"list1",NA,3634,"Verb","0.62",6,492,0,17,42,153,220,228,198,162,70,70,38,21,33,19,54,39,12,8,13,3,4.11,2
"brown",0.571428571,"list1",4.2,3066,"Name","0.62",5,450,0,0,5,18,107,119,88,81,69,33,25,36,26,37,54,22,53,16,16,9,4.48,1
"cold",1.5,"list1",3.95,6638,"Adjective","0.81",4,854,0,11,14,92,127,161,184,111,84,62,53,46,34,25,150,32,9,11,7,7,3.85,1
"cute",2.083333333,"list1",4.26,4475,"Adjective","1.00",4,190,0,2,5,3,9,6,7,5,15,11,17,3,5,6,17,7,0,6,5,6,2.76,1
"dark",1.181818182,"list1",3.74,4519,"Adjective","0.59",4,224,1,0,7,14,69,66,72,82,31,31,17,21,16,12,29,11,16,3,10,11,4.29,1
"dirty",1,"list1",4.55,3389,"Adjective","0.89",5,581,10,34,60,64,87,117,147,66,62,45,29,13,22,10,53,11,14,2,13,4,4.23,2
"empty",0.8,"list1",4.79,2409,"Adjective","0.89",5,178,0,4,20,20,59,35,23,22,7,9,5,11,11,3,6,2,2,1,0,0,3.43,1
"fast",2.166666667,"list1",3.74,7010,"Adverb","0.78",4,414,0,0,4,17,31,71,68,36,46,52,28,34,26,35,151,24,24,14,12,9,3.32,1
"fine",-0.461538462,"list1",7.44,30502,"Adjective","0.99",4,490,0,0,2,3,13,45,29,36,21,19,18,29,12,12,88,16,7,5,6,9,2.61,1
"first",1.3,"list1",4.39,42869,"Number","0.97",5,1995,1,1,11,23,30,89,128,113,115,129,106,144,104,66,278,100,73,45,55,48,2.76,1
"full",1.785714286,"list1",4.24,8512,"Adjective","0.97",4,307,0,0,5,5,21,35,40,29,18,13,17,28,32,14,36,22,8,15,9,9,3.59,1
"gentle",2.642857143,"list1",4.89,844,"Adjective","1.00",6,79,0,0,3,2,5,1,2,5,1,1,0,0,0,0,0,0,0,0,0,0,2.53,1
"good",0.928571429,"list1",3.55,133117,"Adjective","0.99",4,9256,3,7,80,182,285,354,396,289,255,234,218,229,218,177,643,179,114,98,100,67,1.64,1
"green",1.1,"list1",3.79,3696,"Adjective","0.71",5,1061,4,24,80,163,519,533,460,211,320,86,94,101,67,86,246,53,66,28,32,17,4.07,1
"happy",2.076923077,"list1",2.72,16993,"Adjective","1.00",5,622,2,2,44,56,90,161,164,156,124,35,32,27,38,29,66,10,6,6,3,6,2.56,1
"hard",3.692307692,"list1",4.39,15700,"Adjective","0.59",4,1024,1,0,1,44,105,96,82,84,42,41,45,57,58,64,143,38,18,22,12,11,3.76,1
"heavy",1.1,"list1",4.05,2412,"Adjective","1.00",5,260,0,16,14,22,48,73,74,41,30,12,17,12,12,14,24,9,3,12,6,7,3.37,2
"high",2.636363636,"list1",4.58,9945,"Adjective","0.93",4,333,0,1,21,33,45,69,54,38,44,25,22,23,26,13,66,13,11,10,5,5,3.46,1
"hot",2,"list1",3.37,9682,"Adjective","0.99",3,790,16,12,54,152,233,235,219,143,93,83,53,85,69,25,152,39,24,25,36,16,4.31,1
"hungry",1.285714286,"list1",3.63,3931,"Adjective","1.00",6,546,1,3,9,68,39,88,72,71,42,18,50,44,46,43,52,37,19,39,63,80,2.9,1
"hurt",0.9,"list1",4,12564,"Verb","0.85",4,989,0,0,22,38,106,141,209,147,106,75,73,60,51,19,186,16,24,8,20,11,3.61,1
"last",0.615384615,"list1",4.35,36878,"Number","0.92",4,1578,0,0,4,7,39,54,46,66,33,32,46,55,59,29,126,49,32,19,30,15,3.04,1
"little",1.15,"list1",3.95,73766,"Adjective","0.63",6,6767,5,52,70,231,569,1034,1041,944,773,482,421,338,321,239,720,275,196,198,123,111,3.67,1
"long",0.090909091,"list1",4.24,34433,"Adverb","0.48",4,1390,0,1,2,19,28,55,90,117,151,95,97,67,71,55,190,71,47,33,28,39,3.18,1
"loud",1.2,"list1",4.54,2031,"Adverb","0.78",4,186,0,3,2,6,12,17,7,17,15,8,7,6,6,4,24,10,2,3,1,2,3.73,1
"mad",0.733333333,"list1",3.55,5784,"Adjective","1.00",3,307,0,1,0,0,4,20,13,21,23,17,30,19,23,15,53,9,3,4,1,3,2.76,1
"naughty",0.4,"list1",4.9,523,"Adjective","1.00",7,414,0,0,22,38,110,145,127,80,36,18,7,3,1,3,9,7,10,2,0,1,2.04,1
"new",-0.285714286,"list1",4.72,36913,"Adjective","0.77",3,1304,0,9,23,71,144,132,186,181,119,87,91,78,85,53,189,53,27,23,26,10,2.81,1
"nice",0.8125,"list1",3.95,33125,"Adjective","0.96",4,3161,3,6,49,135,150,201,338,171,99,68,60,45,50,31,129,59,55,23,20,12,2.18,1
"noisy",1.4,"list1",5.33,257,"Adjective","1.00",5,108,0,33,3,25,13,30,44,18,3,4,1,1,3,3,1,0,2,3,2,2,3.56,2
"old",1.266666667,"list1",3.72,31056,"Adjective","1.00",3,1024,0,11,4,23,50,77,103,73,65,51,66,92,54,55,163,54,61,19,8,25,2.72,1
"other",-0.083333333,"list1",5.33,37505,"Adjective","0.75",5,3390,0,37,42,170,268,686,463,436,347,190,165,171,183,141,342,185,140,63,61,48,2.04,1
"poor",-1.2,"list1",6.11,6583,"Adjective","1.00",4,474,0,2,3,17,75,116,63,39,15,13,15,1,2,5,11,15,4,5,1,5,2.7,1
"pretty",2,"list1",4.09,20003,"Adverb","0.70",6,1629,2,3,33,25,30,61,66,95,73,45,47,30,35,26,64,35,20,4,10,9,2.4,1
"quiet",1,"list1",4.15,5978,"Adjective","0.95",5,288,0,0,0,14,20,22,54,16,10,11,10,18,13,6,66,10,10,2,9,9,2.76,1
"red",1.833333333,"list1",3.68,7551,"Adjective","0.79",3,1229,2,59,71,288,630,527,444,295,279,114,139,120,108,93,259,89,69,21,68,28,4.24,1
"sad",1.769230769,"list1",3.24,3232,"Adjective","1.00",3,183,2,1,8,11,24,42,59,19,25,25,21,10,7,4,28,6,4,2,5,2,3.07,1
"same",0,"list1",5.62,21276,"Determiner","0.98",4,1070,0,3,4,8,37,37,63,92,73,62,60,50,89,53,184,31,35,19,22,12,2.64,1
"scared",1.384615385,"list1",3.79,6803,"Adjective","0.81",6,166,0,12,2,6,14,33,23,43,30,33,15,10,23,23,53,18,15,17,19,5,2.5,2
"sick",2,"list1",4.05,8437,"Adjective","0.97",4,325,1,1,6,5,38,46,91,78,52,47,15,20,21,20,66,18,8,3,7,1,2.97,1
"sleepy",1.416666667,"list1",3.37,437,"Adjective","1.00",6,228,7,40,4,40,16,100,75,200,24,2,17,9,5,7,9,4,0,1,1,1,2.77,2
"slow",1.636363636,"list1",4.15,3877,"Adjective","0.51",4,106,0,2,2,5,16,20,8,12,11,7,8,5,7,8,44,1,9,0,3,2,3.28,1
"soft",2.333333333,"list1",3.95,1633,"Adjective","1.00",4,141,0,0,3,2,9,7,5,35,18,12,6,11,10,9,18,4,3,4,0,1,3.88,1
"sticky",2.928571429,"list1",4.06,292,"Adjective","1.00",6,100,7,6,1,13,59,32,43,41,23,16,11,7,8,4,3,11,3,4,3,2,3.59,2
"stuck",1.583333333,"list1",NA,3399,"Verb","0.88",5,355,8,43,40,149,304,211,161,85,29,38,37,28,17,14,57,24,14,15,16,8,3.55,1
"thirsty",1.764705882,"list1",3.89,627,"Adjective","1.00",7,75,2,1,2,3,6,21,13,7,6,7,12,5,6,15,14,4,4,0,4,2,3.86,2
"tiny",3.363636364,"list1",5.33,1643,"Adjective","1.00",4,275,0,6,2,25,68,31,73,56,31,29,32,15,11,17,19,12,9,5,9,12,3.11,1
"tired",0.166666667,"list1",4.62,5745,"Adjective","0.98",5,654,1,3,0,34,69,91,79,76,44,30,33,20,23,15,63,17,12,4,6,4,3,2
"wet",2.25,"list1",2.47,2000,"Adjective","0.78",3,476,2,18,27,46,117,112,168,87,54,33,21,25,19,12,76,27,7,5,2,5,4.46,1
"white",0.5,"list1",4.06,8744,"Adjective","0.82",5,627,0,21,4,92,103,229,272,170,75,53,65,65,38,41,110,54,48,17,29,11,3.89,1
"windy",3.4,"list1",5.39,134,"Adjective","1.00",5,48,3,4,2,1,14,10,13,5,3,1,0,5,0,1,3,0,0,0,1,0,3.86,2
"yellow",0.5,"list1",3.2,1724,"Adjective","0.94",6,598,1,27,60,135,362,390,345,217,156,63,103,68,53,48,115,54,32,19,39,17,4.3,1
"yucky",3.461538462,"list1",4.17,22,"Adjective","0.95",5,73,2,11,3,15,23,11,13,26,6,16,6,10,11,6,33,5,5,6,11,0,1.86,2
"bye",1.583333333,"list1",3.28,9184,"Interjection","0.96",3,648,26,153,118,169,159,185,196,115,51,30,85,72,48,35,162,43,41,27,43,12,2.25,1
"hello",2.1,"list1",3.76,29857,"Interjection","1.00",5,1077,2,12,96,158,290,290,273,179,74,59,76,72,71,30,297,62,33,27,33,27,2.8,1
"hi",0.8,"list1",NA,28464,"Interjection","1.00",2,1491,45,56,180,367,298,219,205,157,95,70,153,93,90,49,380,67,51,32,41,31,2.67,1
"no",2.8125,"list1",2.72,304549,"Interjection","0.64",2,20416,81,242,1352,3237,6190,7909,6897,5556,3295,2230,1885,2153,1707,1488,4371,1284,888,537,663,473,2.45,1
"thanks",1.416666667,"list1",3.53,31789,"Noun","0.98",6,352,1,1,3,9,19,55,43,44,43,24,30,24,24,22,37,14,3,10,6,8,2.15,2
"yes",2.25,"list1",2.31,101835,"Interjection","1.00",3,8521,2,11,254,647,1369,2355,1897,1925,961,641,426,423,378,365,856,285,235,92,147,61,2.14,1
"a",0.461538462,"list1",2.89,1041179,"Article","0.96",1,56952,64,255,1970,3683,7462,10834,10528,8137,6442,4842,3883,3386,3107,2978,7563,2760,1674,1028,1007,891,1.46,1
"about",-0.1,"list1",5.07,185206,"Preposition","0.89",5,6362,0,1,11,45,66,159,348,259,269,287,186,232,156,134,299,136,71,50,56,55,1.77,1
"above",1.0625,"list1",4.55,2493,"Preposition","0.71",5,39,0,1,0,1,2,3,3,6,3,2,0,2,0,0,0,1,1,0,0,0,3.33,1
"after",0.75,"list1",6,34812,"Preposition","0.64",5,1327,0,1,1,27,31,44,104,147,76,87,87,88,49,56,198,94,59,28,23,27,2.12,1
"all",-0.1,"list1",4.24,263255,"Determiner","0.62",3,11882,5,11,171,433,790,1105,1258,1064,743,712,589,747,645,523,1118,393,340,182,211,178,2.27,1
"am",0.583333333,"list1",NA,56438,"Verb","0.98",2,821,6,2,6,14,57,91,147,169,94,87,90,70,76,41,257,49,43,20,25,16,1.96,1
"an",-0.642857143,"list1",NA,95071,"Article","1.00",2,2714,1,3,11,68,114,261,401,163,140,148,127,108,94,62,228,43,42,23,24,27,1.46,1
"and",0.5625,"list1",4.57,682780,"Conjunction","1.00",3,41780,4,27,207,1167,2667,4845,6774,5566,4812,4215,3622,3228,3130,2638,6600,2508,1857,1314,1156,959,1.52,1
"another",0.117647059,"list1",5.05,25970,"Determiner","0.98",7,3126,1,67,63,318,799,915,1029,710,490,261,223,230,161,168,337,147,78,63,48,35,2.69,2
"any",-0.3125,"list1",6,56068,"Determiner","0.97",3,2652,1,1,6,34,44,95,160,233,138,108,161,136,108,81,258,91,63,39,53,27,1.72,1
"are",-0.9,"list1",NA,265672,"Verb","1.00",3,17202,0,11,93,208,386,874,1189,1249,898,806,678,575,519,401,1262,418,229,151,201,128,1.96,1
"around",0.6,"list1",5.94,37573,"Adverb","0.74",6,1699,2,7,14,72,120,163,136,110,134,133,72,74,81,56,212,50,34,41,24,21,1.96,1
"at",-0.166666667,"list1",4.04,164072,"Preposition","0.87",2,9026,1,10,59,198,512,669,918,841,809,505,461,371,300,278,946,327,194,139,163,92,2.07,1
"away",0.75,"list1",5.07,37276,"Adverb","0.78",4,2412,0,24,83,209,386,556,513,317,237,177,132,145,106,63,254,81,62,30,22,22,2.23,1
"be",0.384615385,"list1",5.11,293085,"Verb","1.00",2,8533,2,6,34,74,225,478,609,848,551,475,476,431,474,348,1190,390,336,171,146,153,1.85,1
"because",0.214285714,"list1",4.44,54622,"Conjunction","0.92",7,4905,3,0,1,36,127,216,864,888,607,702,543,575,496,431,1266,411,256,193,219,151,1.22,1
"before",-0.5,"list1",5.45,40501,"Conjunction","0.46",6,1444,1,0,1,2,3,17,22,24,31,30,29,44,41,34,141,53,31,11,23,28,1.96,2
"behind",1.545454545,"list1",4.9,9581,"Preposition","0.78",6,414,0,0,13,13,29,35,42,41,25,26,16,21,10,7,53,13,13,4,6,2,3.48,2
"but",0,"list1",4.6,225291,"Conjunction","0.98",3,7504,1,4,7,32,134,133,463,615,506,521,596,685,581,442,1502,463,305,218,229,197,2.04,1
"by",0.272727273,"list1",5.41,68364,"Preposition","0.91",2,1371,1,1,20,21,45,118,131,158,130,95,100,87,75,57,214,40,39,12,29,24,1.55,1
"could",-1.454545455,"list1",NA,83109,"Verb","1.00",5,2782,0,1,2,7,32,84,149,150,418,319,294,285,229,200,1143,236,135,104,78,47,1.34,1
"did",0.466666667,"list1",NA,119410,"Verb","1.00",3,14542,0,2,60,133,237,373,735,629,543,511,462,438,356,375,1228,347,200,113,118,143,2.45,1
"do",0.846153846,"list1",3.6,312915,"Verb","1.00",2,33223,9,63,205,580,1283,1944,2532,2279,1629,1437,1098,1206,1094,854,2758,818,598,384,309,238,2.46,1
"does",-0.6,"list1",NA,34002,"Verb","1.00",4,6005,1,5,9,34,73,271,469,432,363,258,245,250,144,159,341,143,132,51,49,28,2.24,2
"down",0.569930069884615,"list1",4.93,76004,"Adverb","0.93",4,6899,122,232,910,1900,3536,3538,2900,1904,1622,1072,602,750,622,548,1682,490,372,170,182,142,3.52,1
"each",0.666666667,"list1",4.95,12916,"Pronoun","0.63",4,373,0,0,0,1,2,6,13,10,10,22,17,11,16,8,50,31,12,15,8,9,2.03,1
"every",0.25,"list1",4.2,28007,"Article","1.00",5,666,0,1,0,2,6,4,19,16,16,16,15,34,25,35,121,24,27,10,18,9,2.28,1
"for",-1.4,"list1",4.39,351650,"Preposition","0.98",3,12404,3,4,102,234,448,1056,1541,1530,1052,702,653,609,585,524,1278,422,262,162,205,138,1.63,1
"gonna",-0.4,"list1",5.94,101804,"#N/A","#N/A",5,5408,3,1,19,81,349,1197,1459,1124,870,568,412,524,479,393,1895,422,238,154,168,129,NA,2
"gotta",0,"list1",NA,25852,"#N/A","#N/A",5,443,0,1,1,5,31,112,146,132,69,59,27,55,27,35,188,95,42,30,27,22,NA,2
"he",1.058823529,"list1",3.81,389497,"Pronoun","1.00",2,18122,5,15,107,381,879,2010,2235,2062,1744,1470,1129,1196,996,1189,2912,852,671,515,473,438,3.93,1
"her",0.7,"list1",5.09,144627,"Pronoun","1.00",3,7359,1,5,29,152,354,831,648,722,621,424,286,250,182,157,434,190,136,56,62,47,3,1
"here",-0.2,"list1",3.74,230788,"Adverb","1.00",4,14486,6,67,235,856,1817,2572,2617,1985,1791,977,878,918,675,529,2004,433,378,165,180,172,3.13,1
"hers",1.214285714,"list1",4.39,802,"Pronoun","1.00",4,169,0,0,0,2,7,10,21,9,18,8,5,4,6,0,6,6,6,1,0,0,2.61,2
"him",0.583333333,"list1",3.43,177710,"Pronoun","1.00",3,6183,0,2,52,83,316,706,733,626,491,360,325,336,305,224,697,192,187,98,79,77,3.54,1
"his",0.588235294,"list1",3.69,108364,"Pronoun","1.00",3,5346,0,1,16,65,243,607,736,690,529,464,265,316,295,229,616,228,168,121,77,84,3.14,1
"how",0.461538462,"list1",5.36,155867,"Adverb","1.00",3,8356,5,2,30,83,95,204,312,412,490,552,577,591,433,399,1411,403,276,123,156,99,1.35,1
"I",3.181818182,"list1",2.79,2038529,"Pronoun","0.99",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.93,1
"if",0.636363636,"list1",5.36,180610,"Conjunction","1.00",2,7150,0,1,0,7,13,73,114,165,154,195,356,365,290,255,815,282,152,125,129,95,1.19,1
"in",1.461538462,"list1",3.69,498444,"Preposition","0.89",2,28053,12,56,391,1582,3946,5476,4995,3909,2666,2060,1638,1709,1442,976,3487,1014,838,394,402,283,3,1
"inside",0.9,"list1",4.77,10775,"Adverb","0.58",6,679,1,9,11,18,26,88,98,67,42,40,46,47,40,19,93,22,18,21,14,8,3.67,2
"into",-0.823529412,"list1",6.52,43074,"Preposition","1.00",4,1552,0,1,4,17,15,68,167,136,102,95,66,88,73,67,195,80,65,61,43,31,2.3,2
"is",-0.142857143,"list1",NA,459663,"Verb","1.00",2,34513,7,139,372,665,1421,3093,3879,3538,2757,2186,1720,1627,1402,1145,3570,1187,880,411,471,304,1.59,1
"it",1,"list1",4.4,963712,"Pronoun","1.00",2,59629,6,104,940,2886,6100,7469,8623,7060,5112,3910,3226,3375,3050,2242,8582,2512,1749,926,985,715,2.81,1
"later",-0.3,"list1",4.75,14889,"Adverb","0.88",5,922,0,1,7,8,59,62,78,70,36,19,16,2,12,9,42,9,5,4,5,8,1.8,1
"lemme",-0.9,"list1",NA,NA,NA,NA,5,73,0,0,2,2,11,28,49,6,48,19,4,3,3,3,164,15,8,4,3,4,NA,2
"me",0.6,"list1",3.28,471339,"Pronoun","1.00",2,13260,9,59,195,442,1359,2658,2401,2513,1861,1342,1124,1135,885,780,3618,697,416,328,363,254,4.33,1
"mine",1.5,"list1",4.24,12800,"Pronoun","0.77",4,669,1,31,66,166,409,533,514,400,210,171,99,154,90,82,394,89,58,27,38,23,3.56,1
"more",1.125,"list1",3.78,66228,"Determiner","0.56",4,4197,21,163,254,1089,1461,1173,901,739,476,357,287,342,326,315,695,218,125,86,125,74,2.37,1
"much",0.416666667,"list1",4.58,49636,"Determiner","0.74",4,1678,0,0,1,10,16,45,81,80,48,47,67,62,67,68,161,88,32,25,37,25,1.69,1
"my",1.5,"list1",2.72,344899,"Pronoun","1.00",2,6677,5,23,142,932,2531,3931,3996,3411,2332,1828,1602,1376,1173,1017,4159,844,554,332,385,288,2.42,1
"none",0.833333333,"list1",5.57,5641,"Pronoun","1.00",4,107,0,0,1,5,15,2,18,11,7,4,5,11,17,18,51,15,9,4,2,3,2.59,1
"not",1.384615385,"list1",3.89,276673,"Not","1.00",3,12137,0,10,65,256,914,1907,2147,1900,1051,776,768,843,613,567,1864,541,359,244,258,153,2.08,1
"now",1.461538462,"list1",5.25,163333,"Adverb","0.98",3,12333,0,8,58,200,583,1034,1868,1758,846,789,708,591,790,512,1593,564,411,123,160,110,1.48,1
"of",0.230769231,"list1",4.55,590439,"Preposition","0.94",2,16529,2,3,33,171,398,786,1090,1075,958,905,795,810,731,614,1614,728,415,318,325,304,1.67,1
"off",1.9,"list1",3.83,60155,"Adverb","0.71",3,4508,1,75,213,359,963,1099,948,770,557,374,268,330,268,176,864,229,176,89,67,71,2.79,1
"on",0.916666667,"list1",4.01,354742,"Preposition","0.64",2,24774,10,66,384,1452,3866,4887,4296,3332,2579,1976,1322,1203,944,738,3464,910,717,420,373,315,3.25,1
"our",-0.909090909,"list1",4.35,71425,"Pronoun","1.00",3,1224,0,0,4,5,32,70,125,109,158,88,136,135,82,76,234,81,76,47,38,29,1.97,1
"out",0.923076923,"list1",3.28,197131,"Adverb","0.72",3,8873,7,36,171,402,1109,1565,1268,1075,743,604,464,477,552,317,1220,349,218,159,144,112,2.73,1
"over",0.8,"list1",5.57,67488,"Adverb","0.69",4,5234,0,6,45,178,390,723,721,563,419,292,189,247,212,142,674,164,160,82,96,89,2.46,1
"she",0.714285714,"list1",3.57,190377,"Pronoun","1.00",3,11584,1,2,82,166,241,440,481,588,567,505,346,369,397,283,813,338,272,109,111,110,3.36,1
"so",0.909090909,"list1",5.15,216452,"Adverb","0.89",2,9545,1,3,7,37,96,198,341,388,446,576,360,366,357,264,873,360,213,156,158,100,1.42,1
"some",0.5,"list1",4.85,88089,"Determiner","1.00",4,7454,0,8,76,237,871,1677,1862,1523,1218,838,657,558,639,434,909,393,240,186,140,116,2.48,1
"that",-0.0625,"list1",5.53,719677,"Determiner","0.71",4,43202,53,89,1182,3197,6483,7419,6414,4652,3255,2166,1916,1820,1831,1362,4062,1347,1477,698,830,488,1.54,1
"the",0.428571429,"list1",3.98,1501908,"Article","1.00",3,81029,15,77,906,3065,5805,10668,9676,8076,6260,4741,4372,4432,4106,2919,8289,3253,2705,1440,1418,1127,1.43,1
"their",-1,"list1",5.26,33413,"Pronoun","1.00",5,1087,0,0,1,10,20,65,88,100,120,105,59,91,58,84,89,72,54,68,31,16,3.34,1
"them",-0.692307692,"list1",4.9,90720,"Pronoun","1.00",4,8472,0,10,48,99,298,595,1055,963,648,456,454,471,407,323,822,285,273,234,170,105,3.04,1
"then",0.1875,"list1",6.74,75966,"Adverb","1.00",4,7441,1,2,4,56,146,281,482,570,600,561,679,473,454,378,944,420,339,285,216,280,1.44,1
"there",0.461538462,"list1",5.25,221754,"Ex","0.51",5,17881,13,109,938,2584,5850,6161,4234,2864,1926,1047,865,750,634,476,1324,600,729,238,234,155,2.2,1
"these",-0.214285714,"list1",6.42,46104,"Determiner","1.00",5,3612,0,2,20,48,164,553,696,774,562,440,293,288,280,226,443,211,174,123,184,155,2.03,1
"they",0.454545455,"list1",4.88,209250,"Pronoun","1.00",4,11212,0,0,56,113,304,830,1113,1027,684,769,685,772,704,544,1120,568,443,371,313,217,2.93,1
"this",0.133333333,"list1",4.93,406915,"Determiner","1.00",4,22443,16,167,389,1422,2406,5788,6542,5080,4008,2712,2149,2206,1861,1243,3937,1418,1187,583,770,484,2.14,1
"those",0.272727273,"list1",5.01,38404,"Determiner","1.00",5,3776,0,3,38,92,250,541,460,411,332,245,134,117,136,89,336,134,63,46,58,59,2.32,1
"to",-0.416666667,"list1",3.95,1156570,"To","0.68",2,51760,10,28,145,504,1404,3758,4910,4351,3201,3020,2610,2366,2113,1668,5505,1865,1443,953,835,617,1.55,1
"too",1,"list1",5.1,69950,"Adverb","1.00",3,5324,20,37,157,172,560,942,911,816,551,468,368,403,368,253,768,204,131,88,134,68,1.7,1
"try",-0.294117647,"list1",3.44,24314,"Verb","0.95",3,1702,0,1,10,32,72,160,130,155,74,106,94,79,70,65,208,46,43,58,50,40,2.22,1
"under",1.176470588,"list1",5.89,13358,"Preposition","0.90",5,703,1,22,30,82,143,235,157,96,91,44,45,66,52,28,114,36,18,9,10,22,3.45,1
"up",1.333333333,"list1",2.92,187170,"Adverb","0.93",2,11477,111,202,421,792,1426,1869,1883,1528,1145,831,735,732,672,561,1759,554,394,216,244,152,3.83,1
"us",-0.769230769,"list1",4.19,86478,"Pronoun","0.99",2,1220,0,0,0,7,11,36,39,99,64,67,106,109,71,50,227,81,34,36,31,23,3.59,1
"wanna",0.333333333,"list1",NA,25796,"#N/A","#N/A",5,2968,1,2,44,87,436,933,664,495,515,348,204,244,249,217,1080,181,69,38,61,79,NA,2
"was",-0.833333333,"list1",NA,288391,"Verb","1.00",3,11495,1,13,13,94,276,436,670,783,610,737,782,600,630,529,1755,613,392,263,314,308,1.69,1
"we",1.428571429,"list1",5.04,459607,"Pronoun","1.00",2,13871,8,15,19,95,434,753,1533,1553,1416,888,978,1019,884,592,1875,762,596,312,325,214,3.08,1
"were",0.6,"list1",NA,84804,"Verb","1.00",4,3658,1,0,14,20,52,147,223,256,340,278,317,268,274,199,528,213,137,106,111,77,1.48,1
"what",0.142857143,"list1",3.86,501965,"Determiner","1.00",4,48081,13,29,423,933,1186,2152,2613,3263,2500,1982,1607,1680,1352,1154,4370,1239,861,460,434,404,2,1
"when",-1.125,"list1",4.24,103739,"Conjunction","0.68",4,6446,1,0,3,34,76,138,284,530,450,422,414,353,506,314,1283,374,164,183,138,112,1.6,1
"where",-0.818181818,"list1",4.09,93341,"Adverb","0.80",5,7671,0,12,368,750,735,1386,1522,1235,991,692,446,452,354,219,850,253,271,84,70,48,1.66,1
"which",0.090909091,"list1",6.58,24339,"Determiner","1.00",5,2259,0,0,1,5,11,31,86,103,77,66,83,63,39,57,178,69,46,11,16,15,1.54,1
"who",1.375,"list1",3.81,113370,"Pronoun","0.99",3,4757,5,3,43,130,72,372,344,399,292,164,162,195,135,110,644,150,94,55,36,32,1.74,1
"why",0.769230769,"list1",3.97,114687,"Adverb","1.00",3,6639,2,3,31,33,137,1038,1093,1544,1038,1346,515,460,373,262,1220,420,174,134,117,128,1.86,1
"will",0.214285714,"list1",7.53,108306,"Verb","0.95",4,3831,0,1,10,38,115,337,377,652,475,527,450,257,218,176,463,172,127,43,49,43,2.64,1
"with",1.166666667,"list1",4.44,257465,"Preposition","1.00",4,11896,1,8,59,154,392,858,962,1151,1001,756,648,615,531,435,1175,433,394,196,212,139,2,1
"would",-2.1,"list1",5.28,90162,"Verb","1.00",5,4968,0,0,5,9,15,73,59,146,183,117,211,165,164,125,399,130,93,73,53,61,1.12,1
"you",-0.4,"list1",4.35,2134713,"Pronoun","1.00",3,124219,29,126,389,969,2466,4562,6675,6876,4928,4219,3770,3666,3301,2917,11851,2527,1752,1110,1146,787,4.11,1
"your",0,"list1",4.1,328715,"Pronoun","1.00",4,21942,0,4,27,131,310,832,987,888,709,634,499,464,431,299,1434,348,230,131,181,96,2.37,1
"yourself",0.333333333,"list1",4.95,22151,"Pronoun","1.00",8,855,0,0,1,2,10,20,24,28,24,17,7,18,10,9,33,6,1,5,4,1,4.39,NA
"alligator",1.090909091,"list1",4.78,178,"Noun","1.00",9,115,0,0,0,16,11,26,19,17,27,12,4,10,11,6,14,1,8,1,0,0,4.96,1
"animal",-0.933333333,"list1",2.89,2320,"Noun","1.00",6,284,0,6,14,35,52,89,48,63,22,13,25,21,29,15,15,12,6,1,8,2,4.61,1
"ankle",0.466666667,"list1",4.89,409,"Noun","1.00",5,21,0,0,1,0,2,2,3,0,0,0,0,0,0,0,5,0,0,0,0,0,4.81,1
"ant",0.6,"list1",4.32,273,"Noun","0.92",3,34,0,6,3,2,21,18,17,5,16,4,3,3,0,2,3,4,0,0,4,0,4.86,1
"apple",0.083333333,"list1",4.15,1207,"Noun","1.00",5,433,32,23,145,328,172,196,129,102,52,59,50,38,24,33,94,30,16,28,19,19,5,1
